ID,Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body,Value
1,IG85UD78,journalArticle,2018,"Tidiere, M; Thevenot, X; Deligiannopoulou, A; Douay, G; Whipple, M; Siberchicot, A; Gaillard, J M; Lemaitre, J F",Maternal reproductive senescence shapes the fitness consequences of the parental age difference in ruffed lemurs,Proc Biol Sci,,,10.1098/rspb.2018.1479,https://www.ncbi.nlm.nih.gov/pubmed/30209228 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6158536/pdf/rspb20181479.pdf,"In humans, pronounced age differences between parents have deleterious fitness consequences. In particular, the number of children is lower when mothers are much older than fathers. However, previous analyses failed to disentangle the influence of differential parental age per se from a direct age effect of each parent. In this study, we analyse the fitness consequences of both parental age and parental age differences on litter size and offspring survival in two closely related species of lemurs living in captivity. As captive lemurs do not choose their reproductive partner, we were able to measure litter size and offspring survival across breeding pairs showing a wide range of parental age differences. However, we demonstrated that the effect of the parental age difference on litter size was fully accounted for by female reproductive senescence because females mating with much younger males were old females. On the other hand, both parental age difference and female reproductive senescence influenced offspring survival. Our results emphasize the importance of teasing apart the effect of parental reproductive senescence when investigating the health and fitness consequences of parental age differences and also provide new insights for conservation programmes of endangered species.",2018,14/02/2020 12:50,14/02/2020 12:50,,,,1886,285,,,,,,,,,,,,,,,,,PMID: 30209228,,,,Age Factors; Female; Animals; Male; *Reproduction; *ageing; *Aging; *Genetic Fitness; *litter size; *maternal effect; *offspring survival; *paternal effect; *primate; Lemuridae/genetics/*physiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,YMYNVKX9,journalArticle,2017,"Zhao, L; Chen, C; Liao, W B",No evidence for trade-off between clutch size and egg size in the spot-legged treefrog (Polypedates megacephalus),NORTH-WESTERN JOURNAL OF ZOOLOGY,,,,,"The study of life-history traits in organisms mainly focuses on the female reproductive investment mode and its influencing factors. Offspring number and size as two plastic life-history traits, are commonly used to determine the reproductive investment. In this study, we evaluated the evolutionary trade-off between clutch size and egg size in the spot-legged treefrog (Polypedates megacephalus) along an altitudinal gradient. The results showed that females did not exhibit a significant correlation between body size, clutch size and egg size within each population, apart from the Leigong population. We did not find any evidence for the trade-off between clutch size and egg size within or among populations; however, clutch size and egg size from the highest-altitude population were larger than those from the lowest-altitude populations. Our findings suggest that the larger egg size may compensate for the increased mortality rates of their offspring at high altitudes.",2017,14/02/2020 12:50,14/02/2020 12:50,,58–62,,1,13,,,,,,,,,,English,,,,,,,,,,,age structure; altitudinal variation; amphibians.; body-size; breeding elevation; dimorphism; environmental gradient; fecundity; frog rana-sylvatica; geographic-variation; life history; life-history traits; maternal investment; parental investment; renschs rule; toad bufo-andrewsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6LYPCN34,journalArticle,2010,"Omkar; Singh, S K; Mishra, G","Parental age at mating affects reproductive attributes of the aphidophagous ladybird beetle, Coelophora saucia (Coleoptera: Coccinellidae)",European Journal of Entomology,,,,,"Ageing and its affect on life attributes have not been widely explored in ladybirds The present study investigates the influence of female and male age at mating on the reproductive attributes of the ladybird beetle, Coelophoia saucia (Mulsant) All reproductive attributes, viz fecundity, percentage egg hatch, pre-oviposition, oviposition and post-oviposition periods were found to be influenced by the ages of both females and males at mating This is unlike the results of previous studies on ladybirds, where male age was found to influence only percentage egg hatch The influence of male age at mating on fecundity and reproductive periods is probably due to age influenced variation in seminal proteins, which influence fecundity and when the eggs are laid",2010,14/02/2020 12:50,14/02/2020 12:50,,341–347,,3,107,,,,,,,,,,English,,,,,,,,,,,fecundity; callosobruchus-maculatus coleoptera; coccinellidae; coelophora saucia; coleoptera; egg viability; egg weight variation; evolution; female age; good genes; mate choice; maternal age; old-age; paternal age; polyandry; senescence; size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,WWZ9EKI4,journalArticle,1998,"Wiebe, K L; Martin, K",Age-specific patterns of reproduction in white-tailed and willow ptarmigan Lagopus leucurus and L-lagopus,Ibis,,,DOI 10.1111/j.1474-919X.1998.tb04536.x,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1474-919X.1998.tb04536.x,"Although many studies report a difference in reproductive success between old and young birds, little is known about how, why and when productivity changes as individuals age, We examined age-dependent reproduction in two bird species that inhabit harsh tundra environments: White-tailed Ptarmigan Lagopus leucurus in alpine areas and Willow Ptarmigan Lagopus lagopus in subarctic Canada, We evaluated reproductive performance in the light of three hypotheses: constraint, restraint and selection, Using cross-sectional and longitudinal data, we observed significant age effects in seven of the eight life history and behavioural traits examined for the two species, However, the pattern of age effects varied considerably across life history stages; younger birds generally had smaller clutches, later laying dates and poorer spring body condition, but the nesting success did not vary with age. Brood-rearing and renesting abilities were greater for older parents. The oldest age class of White-tailed Ptarmigan showed reproductive senescence for laying date and clutch size but fledged such a large proportion of the brood that they had the highest overall production of any class, It thus appears that parental experience can compensate for reduced physical ability to produce eggs, Annual mortality rates for breeding females were U-shaped for White-tailed Ptarmigan, with higher rates for young and old birds, but mortality did not change with age in Willow Ptarmigan, Overall, the two species differed in the presence of age dependence for only two traits (renesting ability and annual survival), Age-dependent effects were generally greater for White-tailed Ptarmigan than for Willow Ptarmigan, The patterns of mortality and fecundity we observed in ptarmigan provide general support for the constraint hypothesis of reproductive performance. By examining discrete stages of reproduction, we identified the life history stages where age effects occur and propose proximate mechanisms responsible for these effects.",1998,14/02/2020 12:50,14/02/2020 12:50,,14–24,,1,140,,,,,,,,,,English,,,,,,,,,,,gull larus-californicus; survival; clutch-size; birds; anser-caerulescens; breeding success; european blackbirds; experience; parental age; red grouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,VMNBUDMG,journalArticle,2005,"Tarin, J J; Gomez-Piquer, V; Rausell, F; Navarro, S; Hermenegildo, C; Cano, A",Delayed motherhood decreases life expectancy of mouse offspring,Biol Reprod,,,10.1095/biolreprod.104.038919,https://www.ncbi.nlm.nih.gov/pubmed/15689534 https://watermark.silverchair.com/biolreprod1336.pdf?token=AQECAHi208BE49Ooan9kkhW_Ercy7Dm3ZL_9Cf3qfKAc485ysgAAApEwggKNBgkqhkiG9w0BBwagggJ-MIICegIBADCCAnMGCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQM_0qtSjjEX2wl7LDOAgE,"This study analyzes the long-term effects of delayed motherhood on reproductive fitness and life expectancy of offspring in the mouse. Hybrid (C57BL/6JIco x CBA/JIco) first-generation (F1) females, either at the age of 10 or 51 wk, were individually housed with a randomly selected 12- to 14-wk-old hybrid male following a breeding pen system until females reached the end of their reproductive life. Reproductive fitness of second-generation (F2) females was tested from the age of 25 wk until the end of their reproductive life. In F2 males, the testing period ranged from the age of 52 wk until their natural death. Delayed motherhood of hybrid F1 female mice was associated with a decreased percentage of male F3 offspring at birth and lower life expectancy and body weight during adulthood of F2 offspring. There was, however, no evident negative effect of delayed motherhood on several reproductive fitness variables in either male or female F2 offspring. This included between-parturition interval, litter size at birth and at weaning, body weight at weaning and preweaning mortality of F3 pups, percentage of F3 litters with at least one pup cannibalized, and time at which female and male F2 offspring ceased their reproductive life. These data clearly show that delayed motherhood in the mouse is associated with negative long-term effects on offspring survival.",2005,14/02/2020 12:50,14/02/2020 12:50,,1336–1343,,6,72,,,,,,,,,,,,,,,,,PMID: 15689534,,,,Body Weight; Female; Pregnancy; Animals; Longevity; Male; Litter Size; Reproduction/*physiology; Sex Ratio; Mice; *Life Expectancy; Inbred Strains,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,HNCHNK6F,journalArticle,1983,"Roskaft, E; Espmark, Y; Jarvi, T",Reproductive Effort and Breeding Success in Relation to Age by the Rook Corvus-Frugilegus,Ornis Scandinavica,,,Doi 10.2307/3676148,,"The parental effort of young rooks was greater than that of older birds. During the incubation period, young males fed their mates more frequently, and were absent from the nest for longer periods, than older males. However, no differences were seen in the breeding behaviour of old and young females, although females mated to young males begged for food more frequently than did females mated to old males. Young females also laid smaller clutches and were less successful in hatching out their eggs. Similarly, young males were less successful in rearing the nestlings than were the old males. -from Authors",1983,14/02/2020 12:50,14/02/2020 12:50,,169–174,,3,14,,,,,,,,,,English,,,,,,,,,,,Breeding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,WJQ2MBH6,journalArticle,2010,"Omkar; Singh, S K",Mating behaviour of the aphidophagous ladybird beetle Coelophora saucia (Coleoptera: Coccinellidae),International Journal of Tropical Insect Science,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77953581947&doi=10.1017%2FS1742758409990403&partnerID=40&md5=01709a89d1407e1ea55a217e243454fe,"The age-specific mating incidence and mating behaviour of an aphidophagous ladybird beetle Coelophora saucia Mulsant were studied. Males started mating at the age of 4 days. Newly emerged females mated with older males albeit forcibly. The incidence of mating was 100% at the age of 10 days. Courtship involved five steps, viz. approach, watch, examine, mount and attempt, and was male dominated under laboratory conditions. Results indicate that physical cues probably play a role in the initiation of courtship, while chemical signals are probably involved in the continuation of courtship, culminating in intromission. The mating duration, latent period and number of bouts gradually decreased with increase in the number of matings; however, the interval between bouts slightly increased. Pseudo-mating with dead mates was observed in C. saucia. The oviposition period, fecundity and % egg viability were highest in females mated multiple times, while lowest in those that mated once. Copyright ©ICIPE 2010.",2010,14/02/2020 12:50,14/02/2020 12:50,,3–10,,1,30,,,,,,,,,,,,,,,,,,,,,Reproduction; Coccinellidae; Mating behaviour; Coelophora saucia; Courtship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,ZP4DDLQP,journalArticle,2013,"van Bodegom, D; Rozing, M P; May, L; Meij, H J; Thomese, F; Zwaan, B J; Westendorp, R G",Socioeconomic status determines sex-dependent survival of human offspring,Evol Med Public Health,,,10.1093/emph/eot002,https://www.ncbi.nlm.nih.gov/pubmed/24481185 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3868360/pdf/eot002.pdf,"BACKGROUND AND OBJECTIVES: In polygynous societies, rich men have many offspring through the marriage of multiple wives. Evolutionary, rich households would therefore benefit more from sons, and according to the Trivers-Willard hypothesis, parents invest more in offspring of the sex that has the best reproductive prospects. We determined the sex differences in number of offspring, sex ratio of offspring, offspring survival and offspring weight in rich and poor households in a polygynous population. METHODOLOGY: We studied a population of 28 994 individuals in Northern Ghana during an 8-year prospective follow-up. We determined the fertility rate for both men and women, sex ratio of 3511 newborn offspring and offspring survival in 16 632 offspring up to reproductive age (\textless/=18 years). Also, we collected 9842 weight measurements of 1470 offspring up to the age of 3 years from growth charts of local clinics. RESULTS: In rich households, men have a lifetime number of 6.0 offspring, while for women this was 3.1. In line with evolutionary predictions, the male:female sex ratio was higher in rich households (0.52; poor households 0.49), sons had lower mortality in rich households (hazard ratio male versus female 1.06, P = 0.64; poor households: hazard ratio male versus female 1.46, P = 0.01) and sons also had higher weights in rich households (P = 0.008). CONCLUSIONS AND IMPLICATIONS: In rich households, men have higher reproductive prospects in this polygynous society and, in line with Trivers-Willard, we registered more sons in rich households, sons had lower mortality and higher weights, maximizing the reproductive output in this society.",2013,14/02/2020 12:50,14/02/2020 12:50,,37–45,,1,2013,,,,,,,,,,,,,,,,,PMID: 24481185,,,,reproduction; Africa; offspring survival; offspring weight; sex differences; Trivers-Willard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,F45HGNF4,journalArticle,1970,"Murai, M; Kiritani, K","Influence of Parental Age upon the Offspring in the Green Rice Leafhopper, Nephotettix Cincticeps Uhler (Hemiptera : Deltocephalidae)",Applied Entomology and Zoology,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84996008895&doi=10.1303%2Faez.5.189&partnerID=40&md5=8a37346019470cc922275b4760c590d9,"In order to make clear the possible role of the age-related effects of parents on the ecology of the green rice leafhopper, females were allowed to deposit eggs under a constant experimental condition (25°C, 70%RH, 16 hr day-length) and the ensuing larvae from the eggs laid by the mothers of different ages were reared individually with the young seedling of rice plant as their food. Differences in the physiological characteristics were compared with each other among the progeny produced from parents of different ages. The daily oviposition rate and the hatchability and size of eggs laid, on 1st to 2nd, 6th to 7th, 11th to 12th, 13th to 14th and later than 15th days elapsed after the beginning of oviposition, increased at first, attaining their maxima on 6-7th or 11-12th days and then decreased with increasing maternal age, forming parabolic trends. Daily changes in the number of eggs laid by each female, however, showed a cyclic fluctuation at intervals of 3-4 days over her oviposition period. In each cycle, most of the eggs were laid on the first day, and the later the day in the cycle the fewer were the eggs deposited. The same cyclic trends were also detected in the daily hatchability and size of eggs laid over the whole oviposition period. It was considered, therefore, that female physiological activity gradually decreases after passing the postemergence maturatoin period so that the trend will become parabolic and that the nuequal partitioning of maternal food reserves will cause a change for the worse in the viability of the progeny produced during the last half of individual ovipositional cycles. The incubation period of eggs and most characteristics in the larval period, the size of the hatchling, survival time of unfed hatchling, length of period from oviposition to adult emergence, survival at larval stage etc monotonously changed with the aging of mothers. This gap, between the parabolic trends observed at the egg stage and the monotonous changes at the later stage, may be accounted for by the possibility of many deaths of weak progeny that result from selective elimination which could be associated with the unequal partitioning of the egg substrate, and also from the posponed manifestation of age related qualitative difference of the progeny itself. The difference of parental age gave rise to the qualitative variability of the adult progeny. Young mothers brought forth their progeny with protracted preoviposition period, low fecundity and long life-span. On the other hand remarkably persevering adults which withstood starvation longer came into being from old mothers. It is suggested that both adult progenies will assume different functions in the life of this species. ©1970, JAPANESE SOCIETY OF APPLIED ENTOMOLOGY AND ZOOLOGY. All rights reserved.",1970,14/02/2020 12:50,14/02/2020 12:50,,189–201,,4,5,,,,,,,,,,,,,,,,,,,,,Oryza sativa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,DTX4NAFK,journalArticle,1998,"Wiebe, K L; Korpimaki, E; Wiehn, J",Hatching asynchrony in Eurasian kestrels in relation to the abundance and predictability of cyclic prey,J Anim Ecol,,,10.1046/j.1365-2656.1998.6760908.x,https://www.ncbi.nlm.nih.gov/pubmed/26412370 https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1046/j.1365-2656.1998.6760908.x,"Many hypotheses for hatching asynchrony within avian clutches centre around food supply during the laying or nestling periods, but food is measured in few studies. Patterns of clutch size and hatching asynchrony were analysed in the Eurasian kestrel [Falco tinnunculus (Linnaeus)] breeding in Finland, where small mammal populations show dramatic 3-year cycles. Data collected over 12 years showed that clutches were larger when food was more abundant in spring. While controlling for clutch size, hatching was more synchronous in the low phase of the vole cycle compared to the increase phase, contrary to conventional interpretation of the brood reduction hypothesis. The age of the female, but not the age of the male was associated with the degree of asynchrony. Paradoxically, numbers of voles were most stable in the 'low' phase, which may lead to a unique situation, where food is more predictable when scarce. Kestrels have small, synchronous clutches in the 'low' phase and large asynchronous clutches in the 'increase' phase. Based on results of this study, it is suggested that it is important to consider the predictability of food, and not only the mean abundance of food when evaluating hypotheses for hatching asynchrony. Patterns of clutch size and hatching asynchrony at the population level can be used to evaluate current energy-related hypotheses for asynchrony.",1998,14/02/2020 12:50,14/02/2020 12:50,,908–917,,6,67,,,,,,,,,,,,,,,,,PMID: 26412370,,,,Falco tinnunculus; energetic constraint; food supply; hatching asynchrony; incubation; vole cycle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
